date,MedianListingPricePerSqft_AllHomes,MedianRentalPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,state_id
2014-02-28,130.256791961295,0.990049504950495,18.71,75.35,45
2014-03-31,133.524127524963,0.9933774834437091,18.23,75.92,45
2014-04-30,136.612021857924,1.0,19.69,74.1,45
2014-05-31,139.480763420249,1.02378731343284,22.43,70.98,45
2014-06-30,140.224358974359,1.03269537480064,26.22,66.71,45
2014-07-31,139.792240278242,1.04203935599284,29.41,62.86,45
2014-08-31,139.66323907455,1.03926096997691,32.64,58.96,45
2014-09-30,140.086206896552,1.03092783505155,35.88,55.15,45
2014-10-31,138.745148771022,1.01880877742947,38.49,52.13,45
2014-11-30,137.585324232082,1.01328903654485,40.59,50.02,45
2014-12-31,135.95929405663298,1.00359712230216,43.16,47.27,45
2015-01-31,135.030109202484,1.00349040139616,46.67,43.81,45
2015-02-28,137.725777777778,1.01461038961039,46.79,43.35,45
2015-03-31,140.786384976526,1.02844226930659,45.79,44.22,45
2015-04-30,143.898695318496,1.04166666666667,43.17,44.69,45
2015-05-31,146.103896103896,1.04873415294259,41.11,45.46,45
2015-06-30,146.128597122302,1.05456801263253,39.12,46.74,45
2015-07-31,143.660071942446,1.04888888888889,38.64,47.06,45
2015-08-31,143.901515151515,1.0492700729926998,36.9,48.67,45
2015-09-30,143.956953642384,1.04332869315115,36.33,49.45,45
2015-10-31,143.7374749499,1.03486646884273,35.08,51.29,45
2015-11-30,142.430819316332,1.0306553911205099,34.89,51.98,45
2015-12-31,140.48531289910602,1.02280518384076,29.93,55.84,45
2016-01-31,139.679605075563,1.01946721311475,29.27,56.98,45
2016-02-29,136.967930029155,1.02258158508159,29.72,56.11,45
2016-03-31,144.288659793814,1.03509426365402,30.08,55.23,45
2016-04-30,147.506780764089,1.04895104895105,30.37,54.51,45
2016-05-31,148.643243243243,1.0566546762589901,25.89,57.89,45
2016-06-30,148.864905098623,1.04684880822508,25.1,58.54,45
2016-07-31,147.914055825282,1.07489224137931,23.58,60.25,45
2016-08-31,145.833333333333,1.06438213914849,22.92,61.5,45
2016-09-30,146.15705931495398,1.04076174643863,22.43,62.62,45
2016-10-31,145.409090909091,1.03950103950104,21.08,65.11,45
2016-11-30,144.179894179894,1.04166666666667,19.85,67.77,45
2016-12-31,142.214076246334,1.0063259340458601,17.88,70.74,45
2017-01-31,141.571055633556,1.02777777777778,17.16,72.03,45
2017-02-28,144.20080784766301,1.02822580645161,17.27,71.68,45
2017-03-31,148.254556688292,1.03098939523278,17.23,71.44,45
2017-04-30,150.790229885057,1.0558583106266999,17.93,69.93,45
2017-05-31,152.210178607629,1.07421875,18.59,68.99,45
2017-06-30,152.38095238095198,1.08024691358025,18.97,68.1,45
2017-07-31,151.072124756335,1.0804769001490302,19.03,67.9,45
2017-08-31,149.728991761219,1.0727611940298498,19.04,67.64,45
2017-09-30,150.26482444087299,1.06982486067088,19.72,66.82,45
2017-10-31,150.743057631541,1.06184148830538,21.13,65.23,45
2017-11-30,150.570515746235,1.06751569435003,25.46,60.5,45
2017-12-31,147.92899408283998,1.06837606837607,30.63,54.74,45
2010-03-31,96.1223145346859,0.6801088934075339,60.13,31.02,0
2010-04-30,95.296423321901,0.655443015796,60.57,30.56,0
2010-05-31,95.1118044721789,0.6664434025452111,60.67,30.31,0
2010-06-30,94.6651868834117,0.6512151906138349,62.16,29.03,0
2010-07-31,93.79329321773831,0.6448712596687199,63.6,28.09,0
2010-08-31,92.3036093418259,0.6499133448873481,64.03,27.98,0
2010-09-30,92.51543209876542,0.6370967741935479,65.36,26.95,0
2010-10-31,91.90680564071121,0.644468313641246,67.3,25.37,0
2010-11-30,91.187270501836,0.6440281030444971,68.46,24.41,0
2010-12-31,90.0061399918133,0.644678699436764,69.36,23.79,0
2011-01-31,89.15536458282992,0.6389776357827479,69.55,23.67,0
2011-02-28,88.75177978168009,0.6400966183574879,70.06,23.37,0
