state_abr,crime_rate_per_100000,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,year
 MD,378.3289625625,245190.125,245190.125,6.291666666666667,6.208333333333333,100.0,1170.1666666666667,6737.833333333333,15.541666666666666,51.541666666666664,423.875,679.2083333333334,1394.5833333333333,4739.166666666667,603.9166666666666,56.958333333333336,247033.91666666666,24,44.958333333333336,2016
 ME,115.95718188249998,83074.5,83074.5,12.3125,11.3125,100.0,101.3125,2080.4375,1.625,23.25,26.25,50.1875,465.6875,1552.9375,61.8125,14.1875,83018.875,23,16.0,2016
 MI,244.08254211542155,119076.6265060241,117925.90361445783,7.807228915662651,7.602409638554217,97.51087951807229,536.5783132530121,2955.578313253012,8.433734939759036,54.86746987951807,125.07228915662651,348.1686746987952,781.0240963855422,1875.1927710843374,299.31325301204816,28.96385542168675,119224.36144578313,26,83.0,2016
 MN,134.415778915862,61829.183908045976,61829.183908045976,3.7126436781609193,3.9080459770114944,100.0,141.7816091954023,1555.3908045977012,1.1264367816091954,23.701149425287355,39.6551724137931,77.29885057471265,285.4942528735632,1175.057471264368,94.83908045977012,9.459770114942529,62303.2183908046,27,87.0,2016
 MO,270.20932594791316,52365.11304347826,52351.98260869565,5.556521739130435,5.843478260869565,99.40646434782605,236.36521739130436,1737.2608695652175,3.391304347826087,13.278260869565218,50.2695652173913,169.3913043478261,369.7826086956522,1225.486956521739,141.98260869565217,13.417391304347825,52558.00869565218,29,117.71304347826087,2016
 MS,146.21102696178045,36401.53658536585,27598.878048780487,2.8048780487804876,1.9390243902439024,89.87458048780488,76.21951219512195,833.5365853658536,2.292682926829268,8.109756097560975,24.426829268292682,41.41463414634146,270.7560975609756,519.5853658536586,43.19512195121951,4.280487804878049,36478.134146341465,28,82.0,2016
 MT,182.74077371125006,17948.946428571428,17775.178571428572,1.9285714285714286,1.8392857142857142,99.85752321428572,45.55357142857143,451.3392857142857,0.39285714285714285,6.017857142857143,3.5535714285714284,35.589285714285715,65.42857142857143,358.30357142857144,27.607142857142858,3.3392857142857144,18127.946428571428,30,56.0,2016
 NC,269.3901540027001,97520.73,96151.08,7.26,4.73,98.761082,337.82,3210.48,4.72,19.37,92.45,221.27,972.56,2079.7,158.27,17.84,98480.6,37,100.0,2016
 ND,94.4770582311321,13200.528301886792,13018.018867924528,1.9056603773584906,1.8113207547169812,98.59547358490565,27.433962264150942,256.22641509433964,0.2641509433962264,4.716981132075472,2.207547169811321,20.245283018867923,42.39622641509434,194.16981132075472,19.67924528301887,1.490566037735849,13648.924528301886,38,53.0,2016
 NE,61.62639436516127,19951.88172043011,18610.129032258064,2.817204301075269,2.3978494623655915,98.24105268817205,49.29032258064516,528.5913978494624,0.5591397849462365,7.150537634408602,12.064516129032258,29.50537634408602,89.6236559139785,395.3763440860215,43.59139784946237,2.150537634408602,20091.56989247312,31,93.0,2016
