,Code,Name
641,21125,Laurel County
642,21127,Lawrence County
643,21129,Lee County
644,21131,Leslie County
645,21133,Letcher County
646,21135,Lewis County
647,21137,Lincoln County
648,21139,Livingston County
649,21141,Logan County
650,21143,Lyon County
651,21151,Madison County
652,21153,Magoffin County
653,21155,Marion County
654,21157,Marshall County
655,21159,Martin County
656,21161,Mason County
657,21145,McCracken County
658,21147,McCreary County
659,21149,McLean County
660,21163,Meade County
661,21165,Menifee County
662,21167,Mercer County
663,21169,Metcalfe County
664,21171,Monroe County
665,21173,Montgomery County
666,21175,Morgan County
667,21177,Muhlenberg County
668,21179,Nelson County
669,21181,Nicholas County
670,21183,Ohio County
671,21185,Oldham County
672,21187,Owen County
673,21189,Owsley County
674,21191,Pendleton County
675,21193,Perry County
676,21195,Pike County
677,21197,Powell County
678,21199,Pulaski County
679,21201,Robertson County
680,21203,Rockcastle County
681,21205,Rowan County
682,21207,Russell County
683,21209,Scott County
684,21211,Shelby County
685,21213,Simpson County
686,21215,Spencer County
687,21217,Taylor County
688,21219,Todd County
689,21221,Trigg County
690,21223,Trimble County
691,21225,Union County
692,21227,Warren County
693,21229,Washington County
694,21231,Wayne County
695,21233,Webster County
696,21235,Whitley County
697,21237,Wolfe County
698,21239,Woodford County
699,53001,Adams County
700,53003,Asotin County
701,53005,Benton County
702,53007,Chelan County
703,53009,Clallam County
704,53011,Clark County
705,53013,Columbia County
706,53015,Cowlitz County
707,53017,Douglas County
708,53019,Ferry County
709,53021,Franklin County
710,53023,Garfield County
711,53025,Grant County
712,53027,Grays Harbor County
713,53029,Island County
714,53031,Jefferson County
715,53033,King County
716,53035,Kitsap County
717,53037,Kittitas County
718,53039,Klickitat County
719,53041,Lewis County
720,53043,Lincoln County
721,53045,Mason County
722,53047,Okanogan County
723,53049,Pacific County
724,53051,Pend Oreille County
725,53053,Pierce County
726,53055,San Juan County
727,53057,Skagit County
728,53059,Skamania County
729,53061,Snohomish County
730,53063,Spokane County
731,53065,Stevens County
732,53067,Thurston County
733,53069,Wahkiakum County
734,53071,Walla Walla County
735,53073,Whatcom County
736,53075,Whitman County
737,53077,Yakima County
738,18001,Adams County
739,18003,Allen County
740,18005,Bartholomew County
741,18007,Benton County
742,18009,Blackford County
743,18011,Boone County
744,18013,Brown County
745,18015,Carroll County
746,18017,Cass County
747,18019,Clark County
748,18021,Clay County
749,18023,Clinton County
750,18025,Crawford County
751,18027,Daviess County
752,18033,DeKalb County
753,18029,Dearborn County
754,18031,Decatur County
755,18035,Delaware County
756,18037,Dubois County
757,18039,Elkhart County
758,18041,Fayette County
759,18043,Floyd County
760,18045,Fountain County
761,18047,Franklin County
762,18049,Fulton County
763,18051,Gibson County
764,18053,Grant County
765,18055,Greene County
766,18057,Hamilton County
767,18059,Hancock County
768,18061,Harrison County
769,18063,Hendricks County
770,18065,Henry County
771,18067,Howard County
772,18069,Huntington County
773,18071,Jackson County
774,18073,Jasper County
775,18075,Jay County
776,18077,Jefferson County
777,18079,Jennings County
778,18081,Johnson County
779,18083,Knox County
780,18085,Kosciusko County
781,18087,LaGrange County
782,18091,LaPorte County
783,18089,Lake County
784,18093,Lawrence County
785,18095,Madison County
786,18097,Marion County
787,18099,Marshall County
788,18101,Martin County
789,18103,Miami County
790,18105,Monroe County
791,18107,Montgomery County
792,18109,Morgan County
793,18111,Newton County
794,18113,Noble County
795,18115,Ohio County
796,18117,Orange County
797,18119,Owen County
798,18121,Parke County
799,18123,Perry County
800,18125,Pike County
801,18127,Porter County
802,18129,Posey County
803,18131,Pulaski County
804,18133,Putnam County
805,18135,Randolph County
806,18137,Ripley County
807,18139,Rush County
808,18143,Scott County
809,18145,Shelby County
810,18147,Spencer County
811,18141,St. Joseph County
812,18149,Starke County
813,18151,Steuben County
814,18153,Sullivan County
815,18155,Switzerland County
816,18157,Tippecanoe County
817,18159,Tipton County
818,18161,Union County
819,18163,Vanderburgh County
820,18165,Vermillion County
821,18167,Vigo County
822,18169,Wabash County
823,18171,Warren County
824,18173,Warrick County
825,18175,Washington County
826,18177,Wayne County
827,18179,Wells County
828,18181,White County
829,18183,Whitley County
830,38001,Adams County
831,38003,Barnes County
832,38005,Benson County
833,38007,Billings County
834,38009,Bottineau County
835,38011,Bowman County
836,38013,Burke County
837,38015,Burleigh County
838,38017,Cass County
839,38019,Cavalier County
840,38021,Dickey County
841,38023,Divide County
842,38025,Dunn County
843,38027,Eddy County
844,38029,Emmons County
845,38031,Foster County
846,38033,Golden Valley County
847,38035,Grand Forks County
848,38037,Grant County
849,38039,Griggs County
850,38041,Hettinger County
851,38043,Kidder County
852,38045,LaMoure County
853,38047,Logan County
854,38049,McHenry County
855,38051,McIntosh County
856,38053,McKenzie County
857,38055,McLean County
858,38057,Mercer County
859,38059,Morton County
860,38061,Mountrail County
861,38063,Nelson County
862,38065,Oliver County
863,38067,Pembina County
864,38069,Pierce County
865,38071,Ramsey County
866,38073,Ransom County
867,38075,Renville County
868,38077,Richland County
869,38079,Rolette County
870,38081,Sargent County
871,38083,Sheridan County
872,38085,Sioux County
873,38087,Slope County
874,38089,Stark County
875,38091,Steele County
876,38093,Stutsman County
877,38095,Towner County
878,38097,Traill County
879,38099,Walsh County
880,38101,Ward County
881,38103,Wells County
882,38105,Williams County
883,39001,Adams County
884,39003,Allen County
885,39005,Ashland County
